Reis;rice;2022-02-07;Food|Unit 4|Kl. 6
Kokosnuss;coconut;2022-02-07;Food|Unit 4|Kl. 6
Kidneybohne;kidney bean;2022-02-07;Food|Unit 4|Kl. 6
Gemüse;vegetable;2022-02-07;Food|Unit 4|Kl. 6
Pasta|Nudeln;pasta;2022-02-07;Food|Unit 4|Kl. 6
Salat;salad;2022-02-07;Food|Unit 4|Kl. 6
Pirogge;pierogi;2022-02-07;Food|Unit 4|Kl. 6
Kloß;dumpling;2022-02-07;Food|Unit 4|Kl. 6
Kohl|Kraut;cabbage;2022-02-07;Food|Unit 4|Kl. 6
Wurst|Bratwurst;sausage;2022-02-07;Food|Unit 4|Kl. 6
Zwiebel;onion;2022-02-07;Food|Unit 4|Kl. 6
Pastete;pasty;2022-02-07;Food|Unit 4|Kl. 6
Kuchen|Pastete;pie;2022-02-07;Food|Unit 4|Kl. 6
Kartoffel;potato;2022-02-07;Food|Unit 4|Kl. 6
Karotte;carrot;2022-02-07;Food|Unit 4|Kl. 6
Hühnchen;chicken;2022-02-07;Food|Unit 4|Kl. 6
Curry;curry;2022-02-07;Food|Unit 4|Kl. 6
Gewürz;spice;2022-02-07;Food|Unit 4|Kl. 6
Joghurt;yogurt;2022-02-07;Food|Unit 4|Kl. 6
Brot;bread;2022-02-07;Food|Unit 4|Kl. 6
Schweinefleisch;pork;2022-02-07;Food|Unit 4|Kl. 6
Kartoffelsalat;potato salad;2022-02-07;Food|Unit 4|Kl. 6
Getränk;drink;2022-02-07;Way in|Unit 4|Kl. 6
jamaikanisch;Jamaican;2022-02-07;Way in|Unit 4|Kl. 6
lecker;yummy;2022-02-07;Way in|Unit 4|Kl. 6
Sorte|Art;sort;2022-02-07;Way in|Unit 4|Kl. 6
köstlich;delicious;2022-02-07;Way in|Unit 4|Kl. 6
Es wird aus ... gemacht.;It´s made with ...;2022-02-07;Way in|Unit 4|Kl. 6
Flughafen;airport;2022-02-07;Listning skills|Unit 3|Kl. 6
Durchsage|Ankündigung;announcement;2022-02-07;Listning skills|Unit 3|Kl. 6
Passagier|Passagierin;passenger;2022-02-07;Listning skills|Unit 3|Kl. 6
Flugzeug;plane;2022-02-07;Listning skills|Unit 3|Kl. 6
fliegen;fly;2022-02-07;Listning skills|Unit 3|Kl. 6
Information;information desk;2022-02-07;Listning skills|Unit 3|Kl. 6
Sonnbrille;sunglasses;2022-02-07;Film corner|Unit 3|Kl. 6
warten auf;wait for;2022-02-07;Film corner|Unit 3|Kl. 6
eine Besichtigungstour machen;go sightseeing;2022-02-07;Film corner|Unit 3|Kl. 6
Aufkleber;sticker;2022-02-07;Film corner|Unit 3|Kl. 6
Standinhaber|Standinhaberin;stallholder;2022-02-07;Film corner|Unit 3|Kl. 6
pro stück;each;2022-02-07;Film corner|Unit 3|Kl. 6
Wie wäre es mit ...?;How about ...?;2022-02-07;Film corner|Unit 3|Kl. 6
ein Paar;a pair of;2022-02-07;Film corner|Unit 3|Kl. 6
Preis;price;2022-02-07;Film corner|Unit 3|Kl. 6
echt|richtig|wirklich;real;2022-02-07;Film corner|Unit 3|Kl. 6
Schnäppchen;bargain;2022-02-07;Film corner|Unit 3|Kl. 6
klingen;sound;2022-02-07;Film corner|Unit 3|Kl. 6
Theaterstück;play;2022-01-08;Reading corner|Unit 3|Kl. 6
besitzen;own;2022-01-08;Reading corner|Unit 3|Kl. 6
Eigentümer;landlord;2022-01-08;Reading corner|Unit 3|Kl. 6
bitten um;ask for;2022-01-08;Reading corner|Unit 3|Kl. 6
Land;land;2022-01-08;Reading corner|Unit 3|Kl. 6
bezahlen;pay;2022-01-08;Reading corner|Unit 3|Kl. 6
umziehen;move (house);2022-01-08;Reading corner|Unit 3|Kl. 6
Bauarbeiter;builder;2022-01-08;Reading corner|Unit 3|Kl. 6
tragen|befördern;carry;2022-01-08;Reading corner|Unit 3|Kl. 6
wichtig|einflussreich;important;2022-01-08;Reading corner|Unit 3|Kl. 6
von;by;2022-01-08;Reading corner|Unit 3|Kl. 6
als;as;2022-01-08;Reading corner|Unit 3|Kl. 6
treffen|schlagen;hit;2022-01-08;Reading corner|Unit 3|Kl. 6
brennen;be on fire;2022-01-08;Reading corner|Unit 3|Kl. 6
verletzen;hurt;2022-01-08;Reading corner|Unit 3|Kl. 6
schwer|stark;heavy;2022-01-08;Reading corner|Unit 3|Kl. 6
Hilfe;help;2022-01-08;Reading corner|Unit 3|Kl. 6
also;right;2022-01-08;Reading corner|Unit 3|Kl. 6
Kaufhaus;department store;2021-12-30;Station 2|Unit 3|Kl. 6
Schlussverkauf|Ausverkauf;sale;2021-12-30;Station 2|Unit 3|Kl. 6
Top|Oberteil;top;2021-12-30;Station 2|Unit 3|Kl. 6
Abteilung;department;2021-12-30;Station 2|Unit 3|Kl. 6
diese (hier);these;2021-12-30;Station 2|Unit 3|Kl. 6
jene;those;2021-12-30;Station 2|Unit 3|Kl. 6
stehen|passen;suit;2021-12-30;Station 2|Unit 3|Kl. 6
Größe;size;2021-12-30;Station 2|Unit 3|Kl. 6
als Nächstes;next;2021-12-30;Station 2|Unit 3|Kl. 6
suchen nach;look for;2021-12-30;Station 2|Unit 3|Kl. 6
nicht wahr?|stimmts?;isn´t it?;2021-12-30;Station 2|Unit 3|Kl. 6
vielleicht;may;2021-12-30;Station 2|Unit 3|Kl. 6
schließlich|zum Schluss;in the end;2021-12-30;Station 2|Unit 3|Kl. 6
kein;not ... any;2021-12-30;Station 2|Unit 3|Kl. 6
Verkäufer|Verkäuferin;shop assistent;2021-12-30;Station 2|Unit 3|Kl. 6
Quittung;receipt;2021-12-30;Station 2|Unit 3|Kl. 6
billig;cheap;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
groß;large;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
kurz;short;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
teuer;expensive;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
klein;small;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
lang;long;2021-12-30;Adjectives for Clothes|Unit 3|Kl. 6
hundert eins;a/one hundred and one;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
hundert zwei;a/one hundred and two;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
hundert zehn;a/one hundred and ten;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
zweihundert;two hundred;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
dreihundert;three hundred;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
vierhunderteinundfünfzig;four hundred and fifty-one;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
eintausend;a/one thousand;2021-12-30;Numbers 101 - 200.000|Unit 3|Kl. 6
Archiv;archive;2021-12-30;Way in|Unit 3|Kl. 6
Blog|Internettagebuch;blog;2021-12-30;Way in|Unit 3|Kl. 6
alle;everyone;2021-12-30;Way in|Unit 3|Kl. 6
zuhause;back home;2021-12-30;Way in|Unit 3|Kl. 6
Polen;Poland;2021-12-30;Way in|Unit 3|Kl. 6
Bootsfahrt|Schiffsfahrt;boat trip;2021-12-30;Way in|Unit 3|Kl. 6
Sehenswürdigkeit;sight;2021-12-30;Way in|Unit 3|Kl. 6
Gebäude;building;2021-12-30;Way in|Unit 3|Kl. 6
Riesenrad;big wheel;2021-12-30;Way in|Unit 3|Kl. 6
bauen;build;2021-12-30;Way in|Unit 3|Kl. 6
Arbeiter|Arbeiterin;worker;2021-12-30;Way in|Unit 3|Kl. 6
Vereinigtes Königreich;UK;2021-12-30;Way in|Unit 3|Kl. 6
Frankreich;France;2021-12-30;Way in|Unit 3|Kl. 6
die Niederlande;the Netherlands;2021-12-30;Way in|Unit 3|Kl. 6
Tschechien;the Czech Rebuplik;2021-12-30;Way in|Unit 3|Kl. 6
der berühmteste;the most famous;2021-12-30;Way in|Unit 3|Kl. 6
Uhrenturm;clock tower;2021-12-30;Way in|Unit 3|Kl. 6
